Category,Subcategory,2ndSubcategory,Name,1stColumnPrice,2ndColumnPrice,3rdColumnPrice
Video Game,3DO,,DinoPark Tycoon,$450.00,"$2,507.50","$5,015.00"
Video Game,3DO,,Super Street Fighter II Turbo,$30.00,$62.46,$250.00
Video Game,3DO,,Lucienne's Quest,$307.25,$670.00,"$1,340.00"
Video Game,3DO,,Panasonic Sampler CD,$8.99,$19.78,$40.46
Video Game,3DO,,Road Rash,$29.99,$65.00,$227.27
Video Game,3DO,,3DO Console,$212.50,$358.31,$955.38
Video Game,3DO,,Wolfenstein 3D,$70.56,$147.50,$295.00
Video Game,3DO,,Doom,$49.61,$95.26,$187.68
Video Game,3DO,,Night Trap,$80.00,$99.93,$369.39
Video Game,3DO,,John Madden Football,$10.29,$22.53,$96.25
Video Game,3DO,,Gex,$16.99,$34.99,$55.50
Video Game,3DO,,Dragon's Lair,$21.12,$39.36,$87.01
Video Game,3DO,,Alone in the Dark,$14.00,$45.47,$91.50
Video Game,3DO,,3DO Gamegun,$133.34,$275.05,$550.00
Video Game,3DO,,Panasonic 3DO FZ-1,$180.60,$266.21,"$1,400.00"
Video Game,3DO,,Panasonic 3DO M2 [FZ-35Z],"$1,361.36","$2,995.00","$5,990.00"
Video Game,3DO,,Need for Speed,$24.74,$47.77,$480.42
Video Game,3DO,,3DO Console Goldstar,$115.62,$331.48,$663.00
Video Game,3DO,,Killing Time,$40.00,$127.70,$216.63
Video Game,3DO,,Shock Wave,$9.23,$24.73,$57.50
Video Game,3DO,,3DO Console FZ-10,$230.33,$298.84,$561.83
Video Game,3DO,,3DO Console Robo,,,
Video Game,3DO,,GameGun,$129.28,$650.00,"$1,300.00"
Video Game,3DO,,Wing Commander III: Heart of the Tiger,$19.18,$45.17,$79.99
Video Game,3DO,,Plumbers Don't Wear Ties,$169.99,$399.99,$599.99
Video Game,3DO,,Samurai Shodown,$15.45,$99.48,$199.00
Video Game,3DO,,3DO Console Sanyo,$257.38,$469.49,$455.00
Video Game,3DO,,Panasonic FZ-10 Console [Gex Bundle],$144.13,$317.79,$636.00
Video Game,3DO,,Demolition Man,$26.02,$69.11,$109.99
Video Game,3DO,,Alone in the Dark 2,$28.92,$51.72,$100.50
Video Game,3DO,,D,$28.69,$42.56,$85.00
Video Game,3DO,,Star Control II,$37.71,$166.87,$250.00
Video Game,3DO,,3DO Controller,$28.86,$36.10,$50.48
Video Game,3DO,,Space Ace,$33.25,$56.47,$113.00
Video Game,3DO,,Total Eclipse,$8.44,$26.27,$61.56
Video Game,3DO,,Return Fire,$20.00,$37.50,$112.71
Video Game,3DO,,NeuroDancer: Journey Into The Neuronet,$180.00,$332.50,$665.00
Video Game,3DO,,Way of the Warrior,$17.60,$50.95,$140.34
Video Game,3DO,,Crash 'N Burn,$24.52,$25.91,$177.09
Video Game,3DO,,Shockwave 2: Beyond the Gate,$11.37,$18.40,$58.18
Video Game,3DO,,Super Wing Commander,$15.98,$40.00,$98.67
Video Game,3DO,,Slayer,$21.93,$179.99,$262.45
Video Game,3DO,,Snow Job,$79.25,$245.29,$260.87
Video Game,3DO,,Sewer Shark,$44.99,$99.99,$200.00
Video Game,3DO,,Blonde Justice,$71.19,$175.00,$168.75
Video Game,3DO,,Blade Force,$13.97,$26.99,$70.21
Video Game,3DO,,Space Hulk: Vengeance of the Blood Angels,$26.00,$67.50,$135.00
Video Game,3DO,,Corpse Killer,$34.05,$40.25,$149.99
Video Game,3DO,,Jurassic Park Interactive,$24.99,$44.93,$210.72
Video Game,3DO,,Myst,$14.98,$25.23,$75.00
Video Game,Action Max,,38 Ambush Alley,$14.99,,$21.73
Video Game,Action Max,,Action Max System,$29.67,$48.00,$96.00
Video Game,Action Max,,Blue Thunder,$149.99,$160.00,$204.07
Video Game,Action Max,,Hydrosub: 2021,$7.55,$8.93,$17.60
Video Game,Action Max,,Rescue of Pops Ghostly,$6.00,$9.10,$9.99
Video Game,Action Max,,Sonic Fury,$7.92,$25.00,$49.99
Video Game,Amiga,,Castlevania,"$1,363.63","$2,999.99","$6,000.00"
Video Game,Amiga,,Secret of Monkey Island,$49.99,$159.35,$319.00
Video Game,Amiga,,Maniac Mansion,$85.00,$298.47,$597.00
